machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
kira;512;32;32;1;asandPile;seq;default;100;dynamic;cores;;none;153841
kira;512;64;64;1;asandPile;seq;default;100;dynamic;cores;;none;143177
kira;512;32;32;1;asandPile;tiled;default;100;dynamic;cores;;none;147067
kira;512;64;64;1;asandPile;tiled;default;100;dynamic;cores;;none;143115
kira;512;32;32;1;asandPile;omp_tiled;default;100;dynamic;cores;;none;144074
kira;512;64;64;1;asandPile;omp_tiled;default;100;dynamic;cores;;none;145429
kira;512;32;32;1;asandPile;omp_task;default;100;dynamic;cores;;none;154212
kira;512;64;64;1;asandPile;omp_task;default;100;dynamic;cores;;none;144571
kira;512;32;32;1;asandPile;lazy;default;100;dynamic;cores;;none;143452
kira;512;64;64;1;asandPile;lazy;default;100;dynamic;cores;;none;143764
kira;512;32;32;1;asandPile;omp_lazy;default;100;dynamic;cores;;none;146224
kira;512;64;64;1;asandPile;omp_lazy;default;100;dynamic;cores;;none;144443
kira;512;32;32;2;asandPile;seq;default;100;dynamic;cores;;none;144736
kira;512;64;64;2;asandPile;seq;default;100;dynamic;cores;;none;147875
kira;512;32;32;2;asandPile;tiled;default;100;dynamic;cores;;none;144985
kira;512;64;64;2;asandPile;tiled;default;100;dynamic;cores;;none;141528
kira;512;32;32;2;asandPile;omp_tiled;default;100;dynamic;cores;;none;87613
kira;512;64;64;2;asandPile;omp_tiled;default;100;dynamic;cores;;none;90556
kira;512;32;32;2;asandPile;omp_task;default;100;dynamic;cores;;none;107547
kira;512;64;64;2;asandPile;omp_task;default;100;dynamic;cores;;none;100379
kira;512;32;32;2;asandPile;lazy;default;100;dynamic;cores;;none;143048
kira;512;64;64;2;asandPile;lazy;default;100;dynamic;cores;;none;144351
kira;512;32;32;2;asandPile;omp_lazy;default;100;dynamic;cores;;none;88597
kira;512;64;64;2;asandPile;omp_lazy;default;100;dynamic;cores;;none;89632
kira;512;32;32;6;asandPile;seq;default;100;dynamic;cores;;none;150466
kira;512;64;64;6;asandPile;seq;default;100;dynamic;cores;;none;148980
kira;512;32;32;6;asandPile;tiled;default;100;dynamic;cores;;none;170009
kira;512;64;64;6;asandPile;tiled;default;100;dynamic;cores;;none;145318
kira;512;32;32;6;asandPile;omp_tiled;default;100;dynamic;cores;;none;45358
kira;512;64;64;6;asandPile;omp_tiled;default;100;dynamic;cores;;none;66133
kira;512;32;32;6;asandPile;omp_task;default;100;dynamic;cores;;none;61667
kira;512;64;64;6;asandPile;omp_task;default;100;dynamic;cores;;none;71698
kira;512;32;32;6;asandPile;lazy;default;100;dynamic;cores;;none;147003
kira;512;64;64;6;asandPile;lazy;default;100;dynamic;cores;;none;143779
kira;512;32;32;6;asandPile;omp_lazy;default;100;dynamic;cores;;none;55179
kira;512;64;64;6;asandPile;omp_lazy;default;100;dynamic;cores;;none;59609
kira;512;32;32;10;asandPile;seq;default;100;dynamic;cores;;none;145460
kira;512;64;64;10;asandPile;seq;default;100;dynamic;cores;;none;146842
kira;512;32;32;10;asandPile;tiled;default;100;dynamic;cores;;none;147373
kira;512;64;64;10;asandPile;tiled;default;100;dynamic;cores;;none;151018
kira;512;32;32;10;asandPile;omp_tiled;default;100;dynamic;cores;;none;37661
kira;512;64;64;10;asandPile;omp_tiled;default;100;dynamic;cores;;none;57150
kira;512;32;32;10;asandPile;omp_task;default;100;dynamic;cores;;none;60472
