machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
kira;512;1;1;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;157646
kira;512;2;1;24;asandPile;omp_lazy;default;7;dynamic;cores;;none;15450
kira;512;4;1;24;asandPile;omp_lazy;default;9;dynamic;cores;;none;11335
kira;512;8;1;24;asandPile;omp_lazy;default;23;dynamic;cores;;none;16867
kira;512;16;1;24;asandPile;omp_lazy;default;59;dynamic;cores;;none;46410
kira;512;32;1;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;44191
kira;512;64;1;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;44938
kira;512;128;1;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;38181
kira;512;256;1;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;36681
kira;512;1;2;24;asandPile;omp_lazy;default;2;dynamic;cores;;none;8833
kira;512;2;2;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;63348
kira;512;4;2;24;asandPile;omp_lazy;default;7;dynamic;cores;;none;6003
kira;512;8;2;24;asandPile;omp_lazy;default;11;dynamic;cores;;none;7318
kira;512;16;2;24;asandPile;omp_lazy;default;35;dynamic;cores;;none;15860
kira;512;32;2;24;asandPile;omp_lazy;default;97;dynamic;cores;;none;35896
kira;512;64;2;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;72489
kira;512;128;2;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;58760
kira;512;256;2;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;56213
kira;512;1;4;24;asandPile;omp_lazy;default;2;dynamic;cores;;none;3106
kira;512;2;4;24;asandPile;omp_lazy;default;2;dynamic;cores;;none;8151
kira;512;4;4;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;46865
kira;512;8;4;24;asandPile;omp_lazy;default;19;dynamic;cores;;none;18726
kira;512;16;4;24;asandPile;omp_lazy;default;37;dynamic;cores;;none;16645
kira;512;32;4;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;35110
kira;512;64;4;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;36972
kira;512;128;4;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;35406
kira;512;256;4;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;35715
kira;512;1;8;24;asandPile;omp_lazy;default;2;dynamic;cores;;none;2720
kira;512;2;8;24;asandPile;omp_lazy;default;2;dynamic;cores;;none;2307
kira;512;4;8;24;asandPile;omp_lazy;default;5;dynamic;cores;;none;3384
kira;512;8;8;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;47731
kira;512;16;8;24;asandPile;omp_lazy;default;71;dynamic;cores;;none;28763
kira;512;32;8;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;38810
kira;512;64;8;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;38685
kira;512;128;8;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;38526
kira;512;256;8;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;39149
kira;512;1;16;24;asandPile;omp_lazy;default;2;dynamic;cores;;none;3777
kira;512;2;16;24;asandPile;omp_lazy;default;2;dynamic;cores;;none;14954
kira;512;4;16;24;asandPile;omp_lazy;default;5;dynamic;cores;;none;11631
kira;512;8;16;24;asandPile;omp_lazy;default;15;dynamic;cores;;none;18755
kira;512;16;16;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;54738
kira;512;32;16;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;42675
kira;512;64;16;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;39953
kira;512;128;16;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;38497
kira;512;256;16;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;39530
kira;512;1;32;24;asandPile;omp_lazy;default;2;dynamic;cores;;none;3904
kira;512;2;32;24;asandPile;omp_lazy;default;2;dynamic;cores;;none;3744
kira;512;4;32;24;asandPile;omp_lazy;default;5;dynamic;cores;;none;5728
kira;512;8;32;24;asandPile;omp_lazy;default;15;dynamic;cores;;none;13836
kira;512;16;32;24;asandPile;omp_lazy;default;43;dynamic;cores;;none;30048
kira;512;32;32;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;60038
kira;512;64;32;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;55746
kira;512;128;32;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;153708
kira;512;256;32;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;57569
kira;512;1;64;24;asandPile;omp_lazy;default;2;dynamic;cores;;none;5672
kira;512;2;64;24;asandPile;omp_lazy;default;2;dynamic;cores;;none;4700
kira;512;4;64;24;asandPile;omp_lazy;default;5;dynamic;cores;;none;8991
kira;512;8;64;24;asandPile;omp_lazy;default;15;dynamic;cores;;none;20973
kira;512;16;64;24;asandPile;omp_lazy;default;43;dynamic;cores;;none;40570
kira;512;32;64;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;160901
kira;512;64;64;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;173394
kira;512;128;64;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;112045
kira;512;256;64;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;119122
kira;512;1;128;24;asandPile;omp_lazy;default;2;dynamic;cores;;none;7471
kira;512;2;128;24;asandPile;omp_lazy;default;2;dynamic;cores;;none;6664
kira;512;4;128;24;asandPile;omp_lazy;default;5;dynamic;cores;;none;11987
kira;512;8;128;24;asandPile;omp_lazy;default;15;dynamic;cores;;none;26395
kira;512;16;128;24;asandPile;omp_lazy;default;43;dynamic;cores;;none;67333
kira;512;32;128;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;115315
kira;512;64;128;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;114491
kira;512;128;128;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;140238
kira;512;256;128;24;asandPile;omp_lazy;default;100;dynamic;cores;;none;138433
kira;512;1;256;24;asandPile;omp_lazy;default;2;dynamic;cores;;none;7547
kira;512;2;256;24;asandPile;omp_lazy;default;2;dynamic;cores;;none;7527
