machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
kira;512;1;1;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;80788
kira;512;2;1;24;asandPile;omp_tiled;default;7;dynamic;cores;;none;5321
kira;512;4;1;24;asandPile;omp_tiled;default;12;dynamic;cores;;none;18210
kira;512;8;1;24;asandPile;omp_tiled;default;30;dynamic;cores;;none;17371
kira;512;16;1;24;asandPile;omp_tiled;default;68;dynamic;cores;;none;28858
kira;512;32;1;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;35865
kira;512;64;1;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;51802
kira;512;128;1;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;42496
kira;512;256;1;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;26739
kira;512;1;2;24;asandPile;omp_tiled;default;2;dynamic;cores;;none;1855
kira;512;2;2;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;70074
kira;512;4;2;24;asandPile;omp_tiled;default;7;dynamic;cores;;none;3591
kira;512;8;2;24;asandPile;omp_tiled;default;12;dynamic;cores;;none;10737
kira;512;16;2;24;asandPile;omp_tiled;default;36;dynamic;cores;;none;18136
kira;512;32;2;24;asandPile;omp_tiled;default;98;dynamic;cores;;none;29714
kira;512;64;2;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;31241
kira;512;128;2;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;28731
kira;512;256;2;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;31266
kira;512;1;4;24;asandPile;omp_tiled;default;2;dynamic;cores;;none;1686
kira;512;2;4;24;asandPile;omp_tiled;default;2;dynamic;cores;;none;1775
kira;512;4;4;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;34123
kira;512;8;4;24;asandPile;omp_tiled;default;19;dynamic;cores;;none;8852
kira;512;16;4;24;asandPile;omp_tiled;default;39;dynamic;cores;;none;15517
kira;512;32;4;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;30147
kira;512;64;4;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;33470
kira;512;128;4;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;35357
kira;512;256;4;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;39323
kira;512;1;8;24;asandPile;omp_tiled;default;2;dynamic;cores;;none;14372
kira;512;2;8;24;asandPile;omp_tiled;default;2;dynamic;cores;;none;14464
kira;512;4;8;24;asandPile;omp_tiled;default;5;dynamic;cores;;none;79551
kira;512;8;8;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;62144
kira;512;16;8;24;asandPile;omp_tiled;default;74;dynamic;cores;;none;22008
kira;512;32;8;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;36701
kira;512;64;8;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;36511
kira;512;128;8;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;38482
kira;512;256;8;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;35528
kira;512;1;16;24;asandPile;omp_tiled;default;2;dynamic;cores;;none;1698
kira;512;2;16;24;asandPile;omp_tiled;default;2;dynamic;cores;;none;1438
kira;512;4;16;24;asandPile;omp_tiled;default;5;dynamic;cores;;none;2610
kira;512;8;16;24;asandPile;omp_tiled;default;15;dynamic;cores;;none;6721
kira;512;16;16;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;40514
kira;512;32;16;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;44416
kira;512;64;16;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;38619
kira;512;128;16;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;68406
kira;512;256;16;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;59303
kira;512;1;32;24;asandPile;omp_tiled;default;2;dynamic;cores;;none;2809
kira;512;2;32;24;asandPile;omp_tiled;default;2;dynamic;cores;;none;2526
kira;512;4;32;24;asandPile;omp_tiled;default;5;dynamic;cores;;none;4075
kira;512;8;32;24;asandPile;omp_tiled;default;15;dynamic;cores;;none;10739
kira;512;16;32;24;asandPile;omp_tiled;default;43;dynamic;cores;;none;40688
kira;512;32;32;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;86525
kira;512;64;32;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;82561
kira;512;128;32;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;109780
kira;512;256;32;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;56017
kira;512;1;64;24;asandPile;omp_tiled;default;2;dynamic;cores;;none;4996
kira;512;2;64;24;asandPile;omp_tiled;default;2;dynamic;cores;;none;2746
kira;512;4;64;24;asandPile;omp_tiled;default;5;dynamic;cores;;none;6361
kira;512;8;64;24;asandPile;omp_tiled;default;15;dynamic;cores;;none;19060
kira;512;16;64;24;asandPile;omp_tiled;default;43;dynamic;cores;;none;34845
kira;512;32;64;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;74808
kira;512;64;64;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;91119
kira;512;128;64;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;88766
kira;512;256;64;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;89008
kira;512;1;128;24;asandPile;omp_tiled;default;2;dynamic;cores;;none;4344
kira;512;2;128;24;asandPile;omp_tiled;default;2;dynamic;cores;;none;4642
kira;512;4;128;24;asandPile;omp_tiled;default;5;dynamic;cores;;none;8936
kira;512;8;128;24;asandPile;omp_tiled;default;15;dynamic;cores;;none;23075
kira;512;16;128;24;asandPile;omp_tiled;default;43;dynamic;cores;;none;44785
kira;512;32;128;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;125525
kira;512;64;128;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;504226
kira;512;128;128;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;173801
kira;512;256;128;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;133110
kira;512;1;256;24;asandPile;omp_tiled;default;2;dynamic;cores;;none;5977
kira;512;2;256;24;asandPile;omp_tiled;default;2;dynamic;cores;;none;6350
kira;512;4;256;24;asandPile;omp_tiled;default;5;dynamic;cores;;none;10714
kira;512;8;256;24;asandPile;omp_tiled;default;15;dynamic;cores;;none;28676
kira;512;16;256;24;asandPile;omp_tiled;default;43;dynamic;cores;;none;54049
kira;512;32;256;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;139177
kira;512;64;256;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;156035
kira;512;128;256;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;161181
kira;512;256;256;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;230742
kira;512;1;512;24;asandPile;omp_tiled;default;2;dynamic;cores;;none;3615
kira;512;2;512;24;asandPile;omp_tiled;default;2;dynamic;cores;;none;2917
kira;512;4;512;24;asandPile;omp_tiled;default;5;dynamic;cores;;none;18940
kira;512;8;512;24;asandPile;omp_tiled;default;15;dynamic;cores;;none;38039
kira;512;16;512;24;asandPile;omp_tiled;default;43;dynamic;cores;;none;84634
kira;512;32;512;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;117709
kira;512;64;512;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;103197
kira;512;128;512;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;117483
kira;512;256;512;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;215801
kira;512;512;512;24;asandPile;omp_tiled;default;100;dynamic;cores;;none;213520
kira;512;1;1;24;asandPile;omp_tiled;default;100;static,1;cores;;none;66905
kira;512;2;1;24;asandPile;omp_tiled;default;5;static,1;cores;;none;6243
kira;512;4;1;24;asandPile;omp_tiled;default;7;static,1;cores;;none;7120
kira;512;8;1;24;asandPile;omp_tiled;default;20;static,1;cores;;none;11970
kira;512;16;1;24;asandPile;omp_tiled;default;59;static,1;cores;;none;20165
kira;512;32;1;24;asandPile;omp_tiled;default;100;static,1;cores;;none;31464
kira;512;64;1;24;asandPile;omp_tiled;default;100;static,1;cores;;none;32706
kira;512;128;1;24;asandPile;omp_tiled;default;100;static,1;cores;;none;35076
kira;512;256;1;24;asandPile;omp_tiled;default;100;static,1;cores;;none;36064
kira;512;1;2;24;asandPile;omp_tiled;default;2;static,1;cores;;none;2630
kira;512;2;2;24;asandPile;omp_tiled;default;100;static,1;cores;;none;91070
kira;512;4;2;24;asandPile;omp_tiled;default;7;static,1;cores;;none;16826
kira;512;8;2;24;asandPile;omp_tiled;default;12;static,1;cores;;none;20258
kira;512;16;2;24;asandPile;omp_tiled;default;36;static,1;cores;;none;22245
kira;512;32;2;24;asandPile;omp_tiled;default;98;static,1;cores;;none;30485
kira;512;64;2;24;asandPile;omp_tiled;default;100;static,1;cores;;none;32939
kira;512;128;2;24;asandPile;omp_tiled;default;100;static,1;cores;;none;30823
kira;512;256;2;24;asandPile;omp_tiled;default;100;static,1;cores;;none;31776
kira;512;1;4;24;asandPile;omp_tiled;default;2;static,1;cores;;none;1512
kira;512;2;4;24;asandPile;omp_tiled;default;2;static,1;cores;;none;1342
kira;512;4;4;24;asandPile;omp_tiled;default;100;static,1;cores;;none;38420
kira;512;8;4;24;asandPile;omp_tiled;default;19;static,1;cores;;none;8980
kira;512;16;4;24;asandPile;omp_tiled;default;39;static,1;cores;;none;14837
kira;512;32;4;24;asandPile;omp_tiled;default;100;static,1;cores;;none;28485
kira;512;64;4;24;asandPile;omp_tiled;default;100;static,1;cores;;none;31575
kira;512;128;4;24;asandPile;omp_tiled;default;100;static,1;cores;;none;31521
kira;512;256;4;24;asandPile;omp_tiled;default;100;static,1;cores;;none;30816
kira;512;1;8;24;asandPile;omp_tiled;default;2;static,1;cores;;none;6713
kira;512;2;8;24;asandPile;omp_tiled;default;2;static,1;cores;;none;1505
kira;512;4;8;24;asandPile;omp_tiled;default;5;static,1;cores;;none;26444
kira;512;8;8;24;asandPile;omp_tiled;default;100;static,1;cores;;none;41725
kira;512;16;8;24;asandPile;omp_tiled;default;74;static,1;cores;;none;27028
kira;512;32;8;24;asandPile;omp_tiled;default;100;static,1;cores;;none;35465
kira;512;64;8;24;asandPile;omp_tiled;default;100;static,1;cores;;none;35681
kira;512;128;8;24;asandPile;omp_tiled;default;100;static,1;cores;;none;58126
kira;512;256;8;24;asandPile;omp_tiled;default;100;static,1;cores;;none;64676
kira;512;1;16;24;asandPile;omp_tiled;default;2;static,1;cores;;none;17223
kira;512;2;16;24;asandPile;omp_tiled;default;2;static,1;cores;;none;7307
kira;512;4;16;24;asandPile;omp_tiled;default;5;static,1;cores;;none;3225
kira;512;8;16;24;asandPile;omp_tiled;default;15;static,1;cores;;none;6875
kira;512;16;16;24;asandPile;omp_tiled;default;100;static,1;cores;;none;47629
kira;512;32;16;24;asandPile;omp_tiled;default;100;static,1;cores;;none;33632
kira;512;64;16;24;asandPile;omp_tiled;default;100;static,1;cores;;none;34068
kira;512;128;16;24;asandPile;omp_tiled;default;100;static,1;cores;;none;35307
kira;512;256;16;24;asandPile;omp_tiled;default;100;static,1;cores;;none;39701
kira;512;1;32;24;asandPile;omp_tiled;default;2;static,1;cores;;none;1962
kira;512;2;32;24;asandPile;omp_tiled;default;2;static,1;cores;;none;2296
kira;512;4;32;24;asandPile;omp_tiled;default;5;static,1;cores;;none;4195
kira;512;8;32;24;asandPile;omp_tiled;default;15;static,1;cores;;none;10439
kira;512;16;32;24;asandPile;omp_tiled;default;43;static,1;cores;;none;23756
kira;512;32;32;24;asandPile;omp_tiled;default;100;static,1;cores;;none;57701
kira;512;64;32;24;asandPile;omp_tiled;default;100;static,1;cores;;none;55042
kira;512;128;32;24;asandPile;omp_tiled;default;100;static,1;cores;;none;54088
kira;512;256;32;24;asandPile;omp_tiled;default;100;static,1;cores;;none;54726
kira;512;1;64;24;asandPile;omp_tiled;default;2;static,1;cores;;none;3510
kira;512;2;64;24;asandPile;omp_tiled;default;2;static,1;cores;;none;3180
kira;512;4;64;24;asandPile;omp_tiled;default;5;static,1;cores;;none;7509
kira;512;8;64;24;asandPile;omp_tiled;default;15;static,1;cores;;none;60070
kira;512;16;64;24;asandPile;omp_tiled;default;43;static,1;cores;;none;58383
kira;512;32;64;24;asandPile;omp_tiled;default;100;static,1;cores;;none;184739
kira;512;64;64;24;asandPile;omp_tiled;default;100;static,1;cores;;none;102912
kira;512;128;64;24;asandPile;omp_tiled;default;100;static,1;cores;;none;86939
kira;512;256;64;24;asandPile;omp_tiled;default;100;static,1;cores;;none;87609
kira;512;1;128;24;asandPile;omp_tiled;default;2;static,1;cores;;none;3466
kira;512;2;128;24;asandPile;omp_tiled;default;2;static,1;cores;;none;2627
kira;512;4;128;24;asandPile;omp_tiled;default;5;static,1;cores;;none;6592
kira;512;8;128;24;asandPile;omp_tiled;default;15;static,1;cores;;none;14164
kira;512;16;128;24;asandPile;omp_tiled;default;43;static,1;cores;;none;46655
kira;512;32;128;24;asandPile;omp_tiled;default;100;static,1;cores;;none;95592
kira;512;64;128;24;asandPile;omp_tiled;default;100;static,1;cores;;none;114538
kira;512;128;128;24;asandPile;omp_tiled;default;100;static,1;cores;;none;185034
kira;512;256;128;24;asandPile;omp_tiled;default;100;static,1;cores;;none;154223
kira;512;1;256;24;asandPile;omp_tiled;default;2;static,1;cores;;none;9240
kira;512;2;256;24;asandPile;omp_tiled;default;2;static,1;cores;;none;4726
kira;512;4;256;24;asandPile;omp_tiled;default;5;static,1;cores;;none;20106
kira;512;8;256;24;asandPile;omp_tiled;default;15;static,1;cores;;none;27520
kira;512;16;256;24;asandPile;omp_tiled;default;43;static,1;cores;;none;97771
kira;512;32;256;24;asandPile;omp_tiled;default;100;static,1;cores;;none;141243
kira;512;64;256;24;asandPile;omp_tiled;default;100;static,1;cores;;none;145729
kira;512;128;256;24;asandPile;omp_tiled;default;100;static,1;cores;;none;151545
kira;512;256;256;24;asandPile;omp_tiled;default;100;static,1;cores;;none;202666
kira;512;1;512;24;asandPile;omp_tiled;default;2;static,1;cores;;none;4209
kira;512;2;512;24;asandPile;omp_tiled;default;2;static,1;cores;;none;3918
kira;512;4;512;24;asandPile;omp_tiled;default;5;static,1;cores;;none;7423
kira;512;8;512;24;asandPile;omp_tiled;default;15;static,1;cores;;none;14949
kira;512;16;512;24;asandPile;omp_tiled;default;43;static,1;cores;;none;41361
kira;512;32;512;24;asandPile;omp_tiled;default;100;static,1;cores;;none;106897
kira;512;64;512;24;asandPile;omp_tiled;default;100;static,1;cores;;none;97097
kira;512;128;512;24;asandPile;omp_tiled;default;100;static,1;cores;;none;101492
kira;512;256;512;24;asandPile;omp_tiled;default;100;static,1;cores;;none;102089
kira;512;512;512;24;asandPile;omp_tiled;default;100;static,1;cores;;none;345430
kira;512;32;32;1;asandPile;tiled;default;100;;cores;;none;144564
