machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
kira;512;8;8;1;ssandPile;seq;default;100;dynamic;cores;;none;267520
kira;512;16;16;1;ssandPile;seq;default;100;dynamic;cores;;none;261943
kira;512;8;8;1;ssandPile;omp;default;100;dynamic;cores;;none;483332
kira;512;16;16;1;ssandPile;omp;default;100;dynamic;cores;;none;484151
kira;512;8;8;1;ssandPile;tiled;default;100;dynamic;cores;;none;267064
kira;512;16;16;1;ssandPile;tiled;default;100;dynamic;cores;;none;264722
kira;512;8;8;1;ssandPile;omp_tiled;default;100;dynamic;cores;;none;281182
kira;512;16;16;1;ssandPile;omp_tiled;default;100;dynamic;cores;;none;268029
kira;512;8;8;1;ssandPile;omp_taskloop;default;100;dynamic;cores;;none;278880
kira;512;16;16;1;ssandPile;omp_taskloop;default;100;dynamic;cores;;none;266166
kira;512;8;8;1;ssandPile;lazy;default;2;dynamic;cores;;none;3345
kira;512;16;16;1;ssandPile;lazy;default;2;dynamic;cores;;none;3939
kira;512;8;8;1;ssandPile;omp_lazy;default;2;dynamic;cores;;none;6199
kira;512;16;16;1;ssandPile;omp_lazy;default;5;dynamic;cores;;none;3395
kira;512;8;8;2;ssandPile;seq;default;100;dynamic;cores;;none;271196
kira;512;16;16;2;ssandPile;seq;default;100;dynamic;cores;;none;258880
kira;512;8;8;2;ssandPile;omp;default;100;dynamic;cores;;none;261052
kira;512;16;16;2;ssandPile;omp;default;100;dynamic;cores;;none;256774
kira;512;8;8;2;ssandPile;tiled;default;100;dynamic;cores;;none;269574
kira;512;16;16;2;ssandPile;tiled;default;100;dynamic;cores;;none;267301
kira;512;8;8;2;ssandPile;omp_tiled;default;100;dynamic;cores;;none;183806
kira;512;16;16;2;ssandPile;omp_tiled;default;100;dynamic;cores;;none;151526
kira;512;8;8;2;ssandPile;omp_taskloop;default;100;dynamic;cores;;none;265846
kira;512;16;16;2;ssandPile;omp_taskloop;default;100;dynamic;cores;;none;164894
kira;512;8;8;2;ssandPile;lazy;default;2;dynamic;cores;;none;3178
kira;512;16;16;2;ssandPile;lazy;default;2;dynamic;cores;;none;4140
kira;512;8;8;2;ssandPile;omp_lazy;default;2;dynamic;cores;;none;3590
kira;512;16;16;2;ssandPile;omp_lazy;default;5;dynamic;cores;;none;4588
kira;512;8;8;6;ssandPile;seq;default;100;dynamic;cores;;none;262804
kira;512;16;16;6;ssandPile;seq;default;100;dynamic;cores;;none;261752
kira;512;8;8;6;ssandPile;omp;default;100;dynamic;cores;;none;94893
kira;512;16;16;6;ssandPile;omp;default;100;dynamic;cores;;none;97098
kira;512;8;8;6;ssandPile;tiled;default;100;dynamic;cores;;none;265780
kira;512;16;16;6;ssandPile;tiled;default;100;dynamic;cores;;none;262545
kira;512;8;8;6;ssandPile;omp_tiled;default;100;dynamic;cores;;none;80122
kira;512;16;16;6;ssandPile;omp_tiled;default;100;dynamic;cores;;none;63306
kira;512;8;8;6;ssandPile;omp_taskloop;default;100;dynamic;cores;;none;835805
kira;512;16;16;6;ssandPile;omp_taskloop;default;100;dynamic;cores;;none;182675
kira;512;8;8;6;ssandPile;lazy;default;2;dynamic;cores;;none;4280
kira;512;16;16;6;ssandPile;lazy;default;2;dynamic;cores;;none;4344
kira;512;8;8;6;ssandPile;omp_lazy;default;2;dynamic;cores;;none;3384
kira;512;16;16;6;ssandPile;omp_lazy;default;2;dynamic;cores;;none;2111
kira;512;8;8;10;ssandPile;seq;default;100;dynamic;cores;;none;263883
kira;512;16;16;10;ssandPile;seq;default;100;dynamic;cores;;none;267348
kira;512;8;8;10;ssandPile;omp;default;100;dynamic;cores;;none;64569
kira;512;16;16;10;ssandPile;omp;default;100;dynamic;cores;;none;63197
kira;512;8;8;10;ssandPile;tiled;default;100;dynamic;cores;;none;267895
kira;512;16;16;10;ssandPile;tiled;default;100;dynamic;cores;;none;264302
kira;512;8;8;10;ssandPile;omp_tiled;default;100;dynamic;cores;;none;71437
kira;512;16;16;10;ssandPile;omp_tiled;default;100;dynamic;cores;;none;48000
kira;512;8;8;10;ssandPile;omp_taskloop;default;100;dynamic;cores;;none;1478570
kira;512;16;16;10;ssandPile;omp_taskloop;default;100;dynamic;cores;;none;329577
kira;512;8;8;10;ssandPile;lazy;default;2;dynamic;cores;;none;4672
kira;512;16;16;10;ssandPile;lazy;default;2;dynamic;cores;;none;3659
kira;512;8;8;10;ssandPile;omp_lazy;default;2;dynamic;cores;;none;3991
kira;512;16;16;10;ssandPile;omp_lazy;default;100;dynamic;cores;;none;26443
kira;512;8;8;14;ssandPile;seq;default;100;dynamic;cores;;none;263879
kira;512;16;16;14;ssandPile;seq;default;100;dynamic;cores;;none;262805
kira;512;8;8;14;ssandPile;omp;default;100;dynamic;cores;;none;58327
kira;512;16;16;14;ssandPile;omp;default;100;dynamic;cores;;none;53510
kira;512;8;8;14;ssandPile;tiled;default;100;dynamic;cores;;none;267654
