machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
cezanne;512;8;8;1;asandPile;omp_tiled;default;100;static;cores;;none;150878
cezanne;512;8;8;1;asandPile;omp_lazy;default;100;static;cores;;none;165914
cezanne;512;16;16;1;asandPile;omp_tiled;default;100;static;cores;;none;146241
cezanne;512;16;16;1;asandPile;omp_lazy;default;100;static;cores;;none;147559
cezanne;512;32;32;1;asandPile;omp_tiled;default;100;static;cores;;none;142810
cezanne;512;32;32;1;asandPile;omp_lazy;default;100;static;cores;;none;144901
cezanne;512;64;64;1;asandPile;omp_tiled;default;100;static;cores;;none;146225
cezanne;512;64;64;1;asandPile;omp_lazy;default;100;static;cores;;none;143493
cezanne;512;8;8;2;asandPile;omp_tiled;default;100;static;cores;;none;90076
cezanne;512;8;8;2;asandPile;omp_lazy;default;100;static;cores;;none;96046
cezanne;512;16;16;2;asandPile;omp_tiled;default;100;static;cores;;none;86599
cezanne;512;16;16;2;asandPile;omp_lazy;default;100;static;cores;;none;88592
cezanne;512;32;32;2;asandPile;omp_tiled;default;100;static;cores;;none;86088
cezanne;512;32;32;2;asandPile;omp_lazy;default;100;static;cores;;none;86810
cezanne;512;64;64;2;asandPile;omp_tiled;default;100;static;cores;;none;84624
cezanne;512;64;64;2;asandPile;omp_lazy;default;100;static;cores;;none;88075
cezanne;512;8;8;6;asandPile;omp_tiled;default;100;static;cores;;none;43413
cezanne;512;8;8;6;asandPile;omp_lazy;default;100;static;cores;;none;52415
cezanne;512;16;16;6;asandPile;omp_tiled;default;100;static;cores;;none;45239
cezanne;512;16;16;6;asandPile;omp_lazy;default;100;static;cores;;none;42764
cezanne;512;32;32;6;asandPile;omp_tiled;default;100;static;cores;;none;51386
cezanne;512;32;32;6;asandPile;omp_lazy;default;100;static;cores;;none;46364
cezanne;512;64;64;6;asandPile;omp_tiled;default;100;static;cores;;none;52812
cezanne;512;64;64;6;asandPile;omp_lazy;default;100;static;cores;;none;54081
cezanne;512;8;8;10;asandPile;omp_tiled;default;100;static;cores;;none;34883
cezanne;512;8;8;10;asandPile;omp_lazy;default;100;static;cores;;none;36490
cezanne;512;16;16;10;asandPile;omp_tiled;default;100;static;cores;;none;32671
