machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
cezanne;512;8;8;1;asandPile;tiled;default;100;static;cores;;none;154370
cezanne;512;8;8;1;asandPile;lazy;default;100;static;cores;;none;152854
cezanne;512;16;16;1;asandPile;tiled;default;100;static;cores;;none;147181
cezanne;512;16;16;1;asandPile;lazy;default;100;static;cores;;none;155372
cezanne;512;32;32;1;asandPile;tiled;default;100;static;cores;;none;144569
cezanne;512;32;32;1;asandPile;lazy;default;100;static;cores;;none;146208
cezanne;512;64;64;1;asandPile;tiled;default;100;static;cores;;none;144780
cezanne;512;64;64;1;asandPile;lazy;default;100;static;cores;;none;143329
cezanne;512;8;8;2;asandPile;tiled;default;100;static;cores;;none;149276
cezanne;512;8;8;2;asandPile;lazy;default;100;static;cores;;none;156834
cezanne;512;16;16;2;asandPile;tiled;default;100;static;cores;;none;145920
cezanne;512;16;16;2;asandPile;lazy;default;100;static;cores;;none;146872
cezanne;512;32;32;2;asandPile;tiled;default;100;static;cores;;none;146712
cezanne;512;32;32;2;asandPile;lazy;default;100;static;cores;;none;146780
cezanne;512;64;64;2;asandPile;tiled;default;100;static;cores;;none;153276
cezanne;512;64;64;2;asandPile;lazy;default;100;static;cores;;none;142684
cezanne;512;8;8;6;asandPile;tiled;default;100;static;cores;;none;145918
cezanne;512;8;8;6;asandPile;lazy;default;100;static;cores;;none;156238
cezanne;512;16;16;6;asandPile;tiled;default;100;static;cores;;none;144450
cezanne;512;16;16;6;asandPile;lazy;default;100;static;cores;;none;146096
cezanne;512;32;32;6;asandPile;tiled;default;100;static;cores;;none;145424
cezanne;512;32;32;6;asandPile;lazy;default;100;static;cores;;none;142591
cezanne;512;64;64;6;asandPile;tiled;default;100;static;cores;;none;145063
cezanne;512;64;64;6;asandPile;lazy;default;100;static;cores;;none;146349
cezanne;512;8;8;10;asandPile;tiled;default;100;static;cores;;none;147623
cezanne;512;8;8;10;asandPile;lazy;default;100;static;cores;;none;152336
cezanne;512;16;16;10;asandPile;tiled;default;100;static;cores;;none;146208
cezanne;512;16;16;10;asandPile;lazy;default;100;static;cores;;none;151203
cezanne;512;32;32;10;asandPile;tiled;default;100;static;cores;;none;143600
cezanne;512;32;32;10;asandPile;lazy;default;100;static;cores;;none;146140
cezanne;512;64;64;10;asandPile;tiled;default;100;static;cores;;none;144064
cezanne;512;64;64;10;asandPile;lazy;default;100;static;cores;;none;143951
cezanne;512;8;8;14;asandPile;tiled;default;100;static;cores;;none;145861
cezanne;512;8;8;14;asandPile;lazy;default;100;static;cores;;none;152547
cezanne;512;16;16;14;asandPile;tiled;default;100;static;cores;;none;147304
cezanne;512;16;16;14;asandPile;lazy;default;100;static;cores;;none;148981
cezanne;512;32;32;14;asandPile;tiled;default;100;static;cores;;none;142982
cezanne;512;32;32;14;asandPile;lazy;default;100;static;cores;;none;144379
cezanne;512;64;64;14;asandPile;tiled;default;100;static;cores;;none;142056
cezanne;512;64;64;14;asandPile;lazy;default;100;static;cores;;none;142140
cezanne;512;8;8;18;asandPile;tiled;default;100;static;cores;;none;149285
cezanne;512;8;8;18;asandPile;lazy;default;100;static;cores;;none;153389
cezanne;512;16;16;18;asandPile;tiled;default;100;static;cores;;none;147487
cezanne;512;16;16;18;asandPile;lazy;default;100;static;cores;;none;146034
cezanne;512;32;32;18;asandPile;tiled;default;100;static;cores;;none;143979
cezanne;512;32;32;18;asandPile;lazy;default;100;static;cores;;none;143199
cezanne;512;64;64;18;asandPile;tiled;default;100;static;cores;;none;142970
cezanne;512;64;64;18;asandPile;lazy;default;100;static;cores;;none;142369
cezanne;512;8;8;22;asandPile;tiled;default;100;static;cores;;none;149375
cezanne;512;8;8;22;asandPile;lazy;default;100;static;cores;;none;155445
cezanne;512;16;16;22;asandPile;tiled;default;100;static;cores;;none;146788
cezanne;512;16;16;22;asandPile;lazy;default;100;static;cores;;none;147429
cezanne;512;32;32;22;asandPile;tiled;default;100;static;cores;;none;142127
cezanne;512;32;32;22;asandPile;lazy;default;100;static;cores;;none;143165
cezanne;512;64;64;22;asandPile;tiled;default;100;static;cores;;none;142414
cezanne;512;64;64;22;asandPile;lazy;default;100;static;cores;;none;142248
cezanne;512;8;8;26;asandPile;tiled;default;100;static;cores;;none;146975
cezanne;512;8;8;26;asandPile;lazy;default;100;static;cores;;none;152990
cezanne;512;16;16;26;asandPile;tiled;default;100;static;cores;;none;149595
cezanne;512;16;16;26;asandPile;lazy;default;100;static;cores;;none;146418
cezanne;512;32;32;26;asandPile;tiled;default;100;static;cores;;none;146039
cezanne;512;32;32;26;asandPile;lazy;default;100;static;cores;;none;143450
cezanne;512;64;64;26;asandPile;tiled;default;100;static;cores;;none;145106
cezanne;512;64;64;26;asandPile;lazy;default;100;static;cores;;none;142200
cezanne;512;8;8;30;asandPile;tiled;default;100;static;cores;;none;149053
cezanne;512;8;8;30;asandPile;lazy;default;100;static;cores;;none;153728
cezanne;512;16;16;30;asandPile;tiled;default;100;static;cores;;none;152112
cezanne;512;16;16;30;asandPile;lazy;default;100;static;cores;;none;148645
cezanne;512;32;32;30;asandPile;tiled;default;100;static;cores;;none;146409
cezanne;512;32;32;30;asandPile;lazy;default;100;static;cores;;none;144337
cezanne;512;64;64;30;asandPile;tiled;default;100;static;cores;;none;145066
cezanne;512;64;64;30;asandPile;lazy;default;100;static;cores;;none;141924
cezanne;512;8;8;34;asandPile;tiled;default;100;static;cores;;none;147245
cezanne;512;8;8;34;asandPile;lazy;default;100;static;cores;;none;153050
cezanne;512;16;16;34;asandPile;tiled;default;100;static;cores;;none;147053
cezanne;512;16;16;34;asandPile;lazy;default;100;static;cores;;none;146098
cezanne;512;32;32;34;asandPile;tiled;default;100;static;cores;;none;144030
cezanne;512;32;32;34;asandPile;lazy;default;100;static;cores;;none;143992
cezanne;512;64;64;34;asandPile;tiled;default;100;static;cores;;none;143633
cezanne;512;64;64;34;asandPile;lazy;default;100;static;cores;;none;141667
cezanne;512;8;8;38;asandPile;tiled;default;100;static;cores;;none;149929
cezanne;512;8;8;38;asandPile;lazy;default;100;static;cores;;none;154657
cezanne;512;16;16;38;asandPile;tiled;default;100;static;cores;;none;148120
cezanne;512;16;16;38;asandPile;lazy;default;100;static;cores;;none;146476
cezanne;512;32;32;38;asandPile;tiled;default;100;static;cores;;none;146991
cezanne;512;32;32;38;asandPile;lazy;default;100;static;cores;;none;145207
cezanne;512;64;64;38;asandPile;tiled;default;100;static;cores;;none;151140
cezanne;512;64;64;38;asandPile;lazy;default;100;static;cores;;none;143614
cezanne;512;8;8;42;asandPile;tiled;default;100;static;cores;;none;149199
cezanne;512;8;8;42;asandPile;lazy;default;100;static;cores;;none;154228
cezanne;512;16;16;42;asandPile;tiled;default;100;static;cores;;none;147901
cezanne;512;16;16;42;asandPile;lazy;default;100;static;cores;;none;145792
cezanne;512;32;32;42;asandPile;tiled;default;100;static;cores;;none;144391
cezanne;512;32;32;42;asandPile;lazy;default;100;static;cores;;none;144416
cezanne;512;64;64;42;asandPile;tiled;default;100;static;cores;;none;144604
cezanne;512;64;64;42;asandPile;lazy;default;100;static;cores;;none;142206
cezanne;512;8;8;46;asandPile;tiled;default;100;static;cores;;none;149485
cezanne;512;8;8;46;asandPile;lazy;default;100;static;cores;;none;155316
cezanne;512;16;16;46;asandPile;tiled;default;100;static;cores;;none;144794
cezanne;512;16;16;46;asandPile;lazy;default;100;static;cores;;none;145856
cezanne;512;32;32;46;asandPile;tiled;default;100;static;cores;;none;144592
cezanne;512;32;32;46;asandPile;lazy;default;100;static;cores;;none;142620
cezanne;512;64;64;46;asandPile;tiled;default;100;static;cores;;none;144582
cezanne;512;64;64;46;asandPile;lazy;default;100;static;cores;;none;141866
cezanne;512;8;8;47;asandPile;tiled;default;100;static;cores;;none;147725
cezanne;512;8;8;47;asandPile;lazy;default;100;static;cores;;none;153121
