machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
cezanne;512;8;8;1;asandPile;seq;default;100;static;cores;;none;145231
cezanne;512;8;8;1;asandPile;tiled;default;100;static;cores;;none;148011
cezanne;512;8;8;1;asandPile;omp_tiled;default;100;static;cores;;none;149585
cezanne;512;8;8;1;asandPile;omp_task;default;100;static;cores;;none;295549
cezanne;512;16;16;1;asandPile;seq;default;100;static;cores;;none;141841
cezanne;512;16;16;1;asandPile;tiled;default;100;static;cores;;none;147953
cezanne;512;16;16;1;asandPile;omp_tiled;default;100;static;cores;;none;154601
cezanne;512;16;16;1;asandPile;omp_task;default;100;static;cores;;none;181260
cezanne;512;32;32;1;asandPile;seq;default;100;static;cores;;none;142752
cezanne;512;32;32;1;asandPile;tiled;default;100;static;cores;;none;142820
cezanne;512;32;32;1;asandPile;omp_tiled;default;100;static;cores;;none;143271
cezanne;512;32;32;1;asandPile;omp_task;default;100;static;cores;;none;152017
cezanne;512;64;64;1;asandPile;seq;default;100;static;cores;;none;145017
cezanne;512;64;64;1;asandPile;tiled;default;100;static;cores;;none;141486
cezanne;512;64;64;1;asandPile;omp_tiled;default;100;static;cores;;none;146069
cezanne;512;64;64;1;asandPile;omp_task;default;100;static;cores;;none;144913
cezanne;512;8;8;2;asandPile;seq;default;100;static;cores;;none;141486
cezanne;512;8;8;2;asandPile;tiled;default;100;static;cores;;none;146465
cezanne;512;8;8;2;asandPile;omp_tiled;default;100;static;cores;;none;87728
cezanne;512;8;8;2;asandPile;omp_task;default;100;static;cores;;none;434458
cezanne;512;16;16;2;asandPile;seq;default;100;static;cores;;none;142106
cezanne;512;16;16;2;asandPile;tiled;default;100;static;cores;;none;145917
cezanne;512;16;16;2;asandPile;omp_tiled;default;100;static;cores;;none;85527
cezanne;512;16;16;2;asandPile;omp_task;default;100;static;cores;;none;161461
cezanne;512;32;32;2;asandPile;seq;default;100;static;cores;;none;144126
cezanne;512;32;32;2;asandPile;tiled;default;100;static;cores;;none;142239
cezanne;512;32;32;2;asandPile;omp_tiled;default;100;static;cores;;none;86348
cezanne;512;32;32;2;asandPile;omp_task;default;100;static;cores;;none;106743
cezanne;512;64;64;2;asandPile;seq;default;100;static;cores;;none;144723
cezanne;512;64;64;2;asandPile;tiled;default;100;static;cores;;none;143460
cezanne;512;64;64;2;asandPile;omp_tiled;default;100;static;cores;;none;84808
cezanne;512;64;64;2;asandPile;omp_task;default;100;static;cores;;none;107138
cezanne;512;8;8;6;asandPile;seq;default;100;static;cores;;none;142269
cezanne;512;8;8;6;asandPile;tiled;default;100;static;cores;;none;148891
cezanne;512;8;8;6;asandPile;omp_tiled;default;100;static;cores;;none;45590
cezanne;512;8;8;6;asandPile;omp_task;default;100;static;cores;;none;565421
cezanne;512;16;16;6;asandPile;seq;default;100;static;cores;;none;141567
cezanne;512;16;16;6;asandPile;tiled;default;100;static;cores;;none;144160
cezanne;512;16;16;6;asandPile;omp_tiled;default;100;static;cores;;none;44053
cezanne;512;16;16;6;asandPile;omp_task;default;100;static;cores;;none;171231
cezanne;512;32;32;6;asandPile;seq;default;100;static;cores;;none;142751
cezanne;512;32;32;6;asandPile;tiled;default;100;static;cores;;none;142676
cezanne;512;32;32;6;asandPile;omp_tiled;default;100;static;cores;;none;52831
cezanne;512;32;32;6;asandPile;omp_task;default;100;static;cores;;none;60491
cezanne;512;64;64;6;asandPile;seq;default;100;static;cores;;none;144957
cezanne;512;64;64;6;asandPile;tiled;default;100;static;cores;;none;145146
cezanne;512;64;64;6;asandPile;omp_tiled;default;100;static;cores;;none;50955
cezanne;512;64;64;6;asandPile;omp_task;default;100;static;cores;;none;76216
cezanne;512;8;8;10;asandPile;seq;default;100;static;cores;;none;145966
cezanne;512;8;8;10;asandPile;tiled;default;100;static;cores;;none;149514
