machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
cezanne;512;8;8;1;ssandPile;omp_tiled;default;100;static;cores;;none;266795
cezanne;512;8;8;1;ssandPile;omp_lazy;default;100;static;cores;;none;273647
cezanne;512;16;16;1;ssandPile;omp_tiled;default;100;static;cores;;none;261949
cezanne;512;16;16;1;ssandPile;omp_lazy;default;100;static;cores;;none;265254
cezanne;512;32;32;1;ssandPile;omp_tiled;default;100;static;cores;;none;259836
cezanne;512;32;32;1;ssandPile;omp_lazy;default;100;static;cores;;none;261170
cezanne;512;64;64;1;ssandPile;omp_tiled;default;100;static;cores;;none;264894
cezanne;512;64;64;1;ssandPile;omp_lazy;default;100;static;cores;;none;267778
cezanne;512;8;8;2;ssandPile;omp_tiled;default;100;static;cores;;none;145876
cezanne;512;8;8;2;ssandPile;omp_lazy;default;100;static;cores;;none;150634
cezanne;512;16;16;2;ssandPile;omp_tiled;default;100;static;cores;;none;144247
cezanne;512;16;16;2;ssandPile;omp_lazy;default;100;static;cores;;none;145451
cezanne;512;32;32;2;ssandPile;omp_tiled;default;100;static;cores;;none;143681
cezanne;512;32;32;2;ssandPile;omp_lazy;default;100;static;cores;;none;144862
cezanne;512;64;64;2;ssandPile;omp_tiled;default;100;static;cores;;none;144919
cezanne;512;64;64;2;ssandPile;omp_lazy;default;100;static;cores;;none;143188
cezanne;512;8;8;6;ssandPile;omp_tiled;default;100;static;cores;;none;58362
cezanne;512;8;8;6;ssandPile;omp_lazy;default;100;static;cores;;none;60217
cezanne;512;16;16;6;ssandPile;omp_tiled;default;100;static;cores;;none;59733
cezanne;512;16;16;6;ssandPile;omp_lazy;default;100;static;cores;;none;57430
cezanne;512;32;32;6;ssandPile;omp_tiled;default;100;static;cores;;none;59027
cezanne;512;32;32;6;ssandPile;omp_lazy;default;100;static;cores;;none;71989
cezanne;512;64;64;6;ssandPile;omp_tiled;default;100;static;cores;;none;60444
cezanne;512;64;64;6;ssandPile;omp_lazy;default;100;static;cores;;none;59871
cezanne;512;8;8;10;ssandPile;omp_tiled;default;100;static;cores;;none;44011
cezanne;512;8;8;10;ssandPile;omp_lazy;default;100;static;cores;;none;41066
cezanne;512;16;16;10;ssandPile;omp_tiled;default;100;static;cores;;none;39889
cezanne;512;16;16;10;ssandPile;omp_lazy;default;100;static;cores;;none;42914
cezanne;512;32;32;10;ssandPile;omp_tiled;default;100;static;cores;;none;40757
cezanne;512;32;32;10;ssandPile;omp_lazy;default;100;static;cores;;none;43870
cezanne;512;64;64;10;ssandPile;omp_tiled;default;100;static;cores;;none;44508
cezanne;512;64;64;10;ssandPile;omp_lazy;default;100;static;cores;;none;46256
cezanne;512;8;8;14;ssandPile;omp_tiled;default;100;static;cores;;none;48600
cezanne;512;8;8;14;ssandPile;omp_lazy;default;100;static;cores;;none;47860
cezanne;512;16;16;14;ssandPile;omp_tiled;default;100;static;cores;;none;34586
cezanne;512;16;16;14;ssandPile;omp_lazy;default;100;static;cores;;none;52358
cezanne;512;32;32;14;ssandPile;omp_tiled;default;100;static;cores;;none;36265
cezanne;512;32;32;14;ssandPile;omp_lazy;default;100;static;cores;;none;34084
cezanne;512;64;64;14;ssandPile;omp_tiled;default;100;static;cores;;none;47345
cezanne;512;64;64;14;ssandPile;omp_lazy;default;100;static;cores;;none;43869
cezanne;512;8;8;18;ssandPile;omp_tiled;default;100;static;cores;;none;42581
cezanne;512;8;8;18;ssandPile;omp_lazy;default;100;static;cores;;none;41601
cezanne;512;16;16;18;ssandPile;omp_tiled;default;100;static;cores;;none;35537
cezanne;512;16;16;18;ssandPile;omp_lazy;default;100;static;cores;;none;30964
cezanne;512;32;32;18;ssandPile;omp_tiled;default;100;static;cores;;none;31640
cezanne;512;32;32;18;ssandPile;omp_lazy;default;100;static;cores;;none;31907
cezanne;512;64;64;18;ssandPile;omp_tiled;default;100;static;cores;;none;31688
cezanne;512;64;64;18;ssandPile;omp_lazy;default;100;static;cores;;none;32132
cezanne;512;8;8;22;ssandPile;omp_tiled;default;100;static;cores;;none;35252
cezanne;512;8;8;22;ssandPile;omp_lazy;default;100;static;cores;;none;39645
cezanne;512;16;16;22;ssandPile;omp_tiled;default;100;static;cores;;none;36596
cezanne;512;16;16;22;ssandPile;omp_lazy;default;100;static;cores;;none;35203
cezanne;512;32;32;22;ssandPile;omp_tiled;default;100;static;cores;;none;37957
cezanne;512;32;32;22;ssandPile;omp_lazy;default;100;static;cores;;none;38672
cezanne;512;64;64;22;ssandPile;omp_tiled;default;100;static;cores;;none;30431
cezanne;512;64;64;22;ssandPile;omp_lazy;default;100;static;cores;;none;37094
cezanne;512;8;8;26;ssandPile;omp_tiled;default;100;static;cores;;none;35179
cezanne;512;8;8;26;ssandPile;omp_lazy;default;100;static;cores;;none;34675
cezanne;512;16;16;26;ssandPile;omp_tiled;default;100;static;cores;;none;33026
cezanne;512;16;16;26;ssandPile;omp_lazy;default;100;static;cores;;none;33463
cezanne;512;32;32;26;ssandPile;omp_tiled;default;100;static;cores;;none;35084
cezanne;512;32;32;26;ssandPile;omp_lazy;default;100;static;cores;;none;35400
