machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
cezanne;512;8;8;1;ssandPile;tiled;default;100;static;cores;;none;268154
cezanne;512;8;8;1;ssandPile;lazy;default;100;static;cores;;none;273359
cezanne;512;16;16;1;ssandPile;tiled;default;100;static;cores;;none;262500
cezanne;512;16;16;1;ssandPile;lazy;default;100;static;cores;;none;262868
cezanne;512;32;32;1;ssandPile;tiled;default;100;static;cores;;none;259497
cezanne;512;32;32;1;ssandPile;lazy;default;100;static;cores;;none;260927
cezanne;512;64;64;1;ssandPile;tiled;default;100;static;cores;;none;265167
cezanne;512;64;64;1;ssandPile;lazy;default;100;static;cores;;none;275967
cezanne;512;8;8;2;ssandPile;tiled;default;100;static;cores;;none;266491
cezanne;512;8;8;2;ssandPile;lazy;default;100;static;cores;;none;274225
cezanne;512;16;16;2;ssandPile;tiled;default;100;static;cores;;none;264563
cezanne;512;16;16;2;ssandPile;lazy;default;100;static;cores;;none;264974
cezanne;512;32;32;2;ssandPile;tiled;default;100;static;cores;;none;260186
cezanne;512;32;32;2;ssandPile;lazy;default;100;static;cores;;none;259768
cezanne;512;64;64;2;ssandPile;tiled;default;100;static;cores;;none;265580
cezanne;512;64;64;2;ssandPile;lazy;default;100;static;cores;;none;268137
cezanne;512;8;8;6;ssandPile;tiled;default;100;static;cores;;none;267545
cezanne;512;8;8;6;ssandPile;lazy;default;100;static;cores;;none;274086
cezanne;512;16;16;6;ssandPile;tiled;default;100;static;cores;;none;265661
cezanne;512;16;16;6;ssandPile;lazy;default;100;static;cores;;none;264266
cezanne;512;32;32;6;ssandPile;tiled;default;100;static;cores;;none;260610
cezanne;512;32;32;6;ssandPile;lazy;default;100;static;cores;;none;260341
cezanne;512;64;64;6;ssandPile;tiled;default;100;static;cores;;none;268739
cezanne;512;64;64;6;ssandPile;lazy;default;100;static;cores;;none;265212
cezanne;512;8;8;10;ssandPile;tiled;default;100;static;cores;;none;266649
cezanne;512;8;8;10;ssandPile;lazy;default;100;static;cores;;none;272496
cezanne;512;16;16;10;ssandPile;tiled;default;100;static;cores;;none;265218
cezanne;512;16;16;10;ssandPile;lazy;default;100;static;cores;;none;264447
cezanne;512;32;32;10;ssandPile;tiled;default;100;static;cores;;none;260183
cezanne;512;32;32;10;ssandPile;lazy;default;100;static;cores;;none;260421
cezanne;512;64;64;10;ssandPile;tiled;default;100;static;cores;;none;266826
cezanne;512;64;64;10;ssandPile;lazy;default;100;static;cores;;none;268340
cezanne;512;8;8;14;ssandPile;tiled;default;100;static;cores;;none;268403
cezanne;512;8;8;14;ssandPile;lazy;default;100;static;cores;;none;272622
cezanne;512;16;16;14;ssandPile;tiled;default;100;static;cores;;none;262345
cezanne;512;16;16;14;ssandPile;lazy;default;100;static;cores;;none;263318
cezanne;512;32;32;14;ssandPile;tiled;default;100;static;cores;;none;260465
cezanne;512;32;32;14;ssandPile;lazy;default;100;static;cores;;none;260332
cezanne;512;64;64;14;ssandPile;tiled;default;100;static;cores;;none;284776
cezanne;512;64;64;14;ssandPile;lazy;default;100;static;cores;;none;264470
cezanne;512;8;8;18;ssandPile;tiled;default;100;static;cores;;none;268222
cezanne;512;8;8;18;ssandPile;lazy;default;100;static;cores;;none;280066
cezanne;512;16;16;18;ssandPile;tiled;default;100;static;cores;;none;263931
cezanne;512;16;16;18;ssandPile;lazy;default;100;static;cores;;none;264498
cezanne;512;32;32;18;ssandPile;tiled;default;100;static;cores;;none;262943
cezanne;512;32;32;18;ssandPile;lazy;default;100;static;cores;;none;268971
cezanne;512;64;64;18;ssandPile;tiled;default;100;static;cores;;none;267733
cezanne;512;64;64;18;ssandPile;lazy;default;100;static;cores;;none;265012
cezanne;512;8;8;22;ssandPile;tiled;default;100;static;cores;;none;267515
cezanne;512;8;8;22;ssandPile;lazy;default;100;static;cores;;none;273732
cezanne;512;16;16;22;ssandPile;tiled;default;100;static;cores;;none;265725
cezanne;512;16;16;22;ssandPile;lazy;default;100;static;cores;;none;263160
cezanne;512;32;32;22;ssandPile;tiled;default;100;static;cores;;none;262838
cezanne;512;32;32;22;ssandPile;lazy;default;100;static;cores;;none;263225
cezanne;512;64;64;22;ssandPile;tiled;default;100;static;cores;;none;265508
cezanne;512;64;64;22;ssandPile;lazy;default;100;static;cores;;none;268631
cezanne;512;8;8;26;ssandPile;tiled;default;100;static;cores;;none;273738
cezanne;512;8;8;26;ssandPile;lazy;default;100;static;cores;;none;273381
cezanne;512;16;16;26;ssandPile;tiled;default;100;static;cores;;none;262135
cezanne;512;16;16;26;ssandPile;lazy;default;100;static;cores;;none;266574
cezanne;512;32;32;26;ssandPile;tiled;default;100;static;cores;;none;259739
cezanne;512;32;32;26;ssandPile;lazy;default;100;static;cores;;none;259910
cezanne;512;64;64;26;ssandPile;tiled;default;100;static;cores;;none;264546
cezanne;512;64;64;26;ssandPile;lazy;default;100;static;cores;;none;265063
cezanne;512;8;8;30;ssandPile;tiled;default;100;static;cores;;none;269471
cezanne;512;8;8;30;ssandPile;lazy;default;100;static;cores;;none;272088
cezanne;512;16;16;30;ssandPile;tiled;default;100;static;cores;;none;274925
cezanne;512;16;16;30;ssandPile;lazy;default;100;static;cores;;none;264495
cezanne;512;32;32;30;ssandPile;tiled;default;100;static;cores;;none;260988
cezanne;512;32;32;30;ssandPile;lazy;default;100;static;cores;;none;260414
cezanne;512;64;64;30;ssandPile;tiled;default;100;static;cores;;none;273969
cezanne;512;64;64;30;ssandPile;lazy;default;100;static;cores;;none;264542
cezanne;512;8;8;34;ssandPile;tiled;default;100;static;cores;;none;269771
cezanne;512;8;8;34;ssandPile;lazy;default;100;static;cores;;none;271669
cezanne;512;16;16;34;ssandPile;tiled;default;100;static;cores;;none;262447
cezanne;512;16;16;34;ssandPile;lazy;default;100;static;cores;;none;263106
cezanne;512;32;32;34;ssandPile;tiled;default;100;static;cores;;none;260958
cezanne;512;32;32;34;ssandPile;lazy;default;100;static;cores;;none;259746
cezanne;512;64;64;34;ssandPile;tiled;default;100;static;cores;;none;267725
cezanne;512;64;64;34;ssandPile;lazy;default;100;static;cores;;none;264347
cezanne;512;8;8;38;ssandPile;tiled;default;100;static;cores;;none;269368
cezanne;512;8;8;38;ssandPile;lazy;default;100;static;cores;;none;271674
cezanne;512;16;16;38;ssandPile;tiled;default;100;static;cores;;none;263061
cezanne;512;16;16;38;ssandPile;lazy;default;100;static;cores;;none;265951
cezanne;512;32;32;38;ssandPile;tiled;default;100;static;cores;;none;261768
cezanne;512;32;32;38;ssandPile;lazy;default;100;static;cores;;none;259953
cezanne;512;64;64;38;ssandPile;tiled;default;100;static;cores;;none;268781
cezanne;512;64;64;38;ssandPile;lazy;default;100;static;cores;;none;266779
cezanne;512;8;8;42;ssandPile;tiled;default;100;static;cores;;none;267664
