machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
cezanne;512;8;8;1;ssandPile;seq;default;100;static;cores;;none;263298
cezanne;512;8;8;1;ssandPile;omp;default;100;static;cores;;none;490611
cezanne;512;8;8;1;ssandPile;tiled;default;100;static;cores;;none;269509
cezanne;512;8;8;1;ssandPile;omp_tiled;default;100;static;cores;;none;267409
cezanne;512;8;8;1;ssandPile;omp_taskloop;default;100;static;cores;;none;277072
cezanne;512;16;16;1;ssandPile;seq;default;100;static;cores;;none;270418
cezanne;512;16;16;1;ssandPile;omp;default;100;static;cores;;none;485215
cezanne;512;16;16;1;ssandPile;tiled;default;100;static;cores;;none;262238
cezanne;512;16;16;1;ssandPile;omp_tiled;default;100;static;cores;;none;264779
cezanne;512;16;16;1;ssandPile;omp_taskloop;default;100;static;cores;;none;267107
cezanne;512;32;32;1;ssandPile;seq;default;100;static;cores;;none;261673
cezanne;512;32;32;1;ssandPile;omp;default;100;static;cores;;none;486583
cezanne;512;32;32;1;ssandPile;tiled;default;100;static;cores;;none;262929
cezanne;512;32;32;1;ssandPile;omp_tiled;default;100;static;cores;;none;261575
cezanne;512;32;32;1;ssandPile;omp_taskloop;default;100;static;cores;;none;264579
cezanne;512;64;64;1;ssandPile;seq;default;100;static;cores;;none;261711
cezanne;512;64;64;1;ssandPile;omp;default;100;static;cores;;none;487123
cezanne;512;64;64;1;ssandPile;tiled;default;100;static;cores;;none;264495
cezanne;512;64;64;1;ssandPile;omp_tiled;default;100;static;cores;;none;265884
cezanne;512;64;64;1;ssandPile;omp_taskloop;default;100;static;cores;;none;266364
cezanne;512;8;8;2;ssandPile;seq;default;100;static;cores;;none;262831
cezanne;512;8;8;2;ssandPile;omp;default;100;static;cores;;none;258001
cezanne;512;8;8;2;ssandPile;tiled;default;100;static;cores;;none;269434
cezanne;512;8;8;2;ssandPile;omp_tiled;default;100;static;cores;;none;147247
cezanne;512;8;8;2;ssandPile;omp_taskloop;default;100;static;cores;;none;253104
cezanne;512;16;16;2;ssandPile;seq;default;100;static;cores;;none;260167
cezanne;512;16;16;2;ssandPile;omp;default;100;static;cores;;none;256903
cezanne;512;16;16;2;ssandPile;tiled;default;100;static;cores;;none;270594
cezanne;512;16;16;2;ssandPile;omp_tiled;default;100;static;cores;;none;145325
cezanne;512;16;16;2;ssandPile;omp_taskloop;default;100;static;cores;;none;162543
cezanne;512;32;32;2;ssandPile;seq;default;100;static;cores;;none;260456
cezanne;512;32;32;2;ssandPile;omp;default;100;static;cores;;none;276409
cezanne;512;32;32;2;ssandPile;tiled;default;100;static;cores;;none;264149
cezanne;512;32;32;2;ssandPile;omp_tiled;default;100;static;cores;;none;142618
cezanne;512;32;32;2;ssandPile;omp_taskloop;default;100;static;cores;;none;151482
cezanne;512;64;64;2;ssandPile;seq;default;100;static;cores;;none;309216
cezanne;512;64;64;2;ssandPile;omp;default;100;static;cores;;none;297370
cezanne;512;64;64;2;ssandPile;tiled;default;100;static;cores;;none;273343
cezanne;512;64;64;2;ssandPile;omp_tiled;default;100;static;cores;;none;144262
cezanne;512;64;64;2;ssandPile;omp_taskloop;default;100;static;cores;;none;146258
cezanne;512;8;8;6;ssandPile;seq;default;100;static;cores;;none;262003
cezanne;512;8;8;6;ssandPile;omp;default;100;static;cores;;none;94492
cezanne;512;8;8;6;ssandPile;tiled;default;100;static;cores;;none;268289
cezanne;512;8;8;6;ssandPile;omp_tiled;default;100;static;cores;;none;59909
cezanne;512;8;8;6;ssandPile;omp_taskloop;default;100;static;cores;;none;765405
cezanne;512;16;16;6;ssandPile;seq;default;100;static;cores;;none;262730
cezanne;512;16;16;6;ssandPile;omp;default;100;static;cores;;none;94684
cezanne;512;16;16;6;ssandPile;tiled;default;100;static;cores;;none;261918
cezanne;512;16;16;6;ssandPile;omp_tiled;default;100;static;cores;;none;65143
