machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
uhura;512;1;1;1;ssandPile;ocl;default;69191;;cores;;none;352630
uhura;512;2;1;1;ssandPile;ocl;default;69191;;cores;;none;308562
uhura;512;4;1;1;ssandPile;ocl;default;69191;;cores;;none;313086
uhura;512;8;1;1;ssandPile;ocl;default;69191;;cores;;none;328337
uhura;512;16;1;1;ssandPile;ocl;default;69191;;cores;;none;310968
uhura;512;32;1;1;ssandPile;ocl;default;69191;;cores;;none;309039
uhura;512;64;1;1;ssandPile;ocl;default;69191;;cores;;none;308730
uhura;512;128;1;1;ssandPile;ocl;default;69191;;cores;;none;308775
uhura;512;256;1;1;ssandPile;ocl;default;69191;;cores;;none;310268
uhura;512;512;1;1;ssandPile;ocl;default;69191;;cores;;none;308572
uhura;512;1;2;1;ssandPile;ocl;default;69191;;cores;;none;309026
uhura;512;2;2;1;ssandPile;ocl;default;69191;;cores;;none;309021
uhura;512;4;2;1;ssandPile;ocl;default;69191;;cores;;none;308645
uhura;512;8;2;1;ssandPile;ocl;default;69191;;cores;;none;309068
uhura;512;16;2;1;ssandPile;ocl;default;69191;;cores;;none;308489
uhura;512;32;2;1;ssandPile;ocl;default;69191;;cores;;none;309272
uhura;512;64;2;1;ssandPile;ocl;default;69191;;cores;;none;308211
uhura;512;128;2;1;ssandPile;ocl;default;69191;;cores;;none;308354
uhura;512;256;2;1;ssandPile;ocl;default;69191;;cores;;none;308634
uhura;512;512;2;1;ssandPile;ocl;default;69191;;cores;;none;308128
uhura;512;1;4;1;ssandPile;ocl;default;69191;;cores;;none;309123
uhura;512;2;4;1;ssandPile;ocl;default;69191;;cores;;none;308456
uhura;512;4;4;1;ssandPile;ocl;default;69191;;cores;;none;308443
uhura;512;8;4;1;ssandPile;ocl;default;69191;;cores;;none;309001
uhura;512;16;4;1;ssandPile;ocl;default;69191;;cores;;none;308788
uhura;512;32;4;1;ssandPile;ocl;default;69191;;cores;;none;311206
uhura;512;64;4;1;ssandPile;ocl;default;69191;;cores;;none;310876
uhura;512;128;4;1;ssandPile;ocl;default;69191;;cores;;none;310904
uhura;512;256;4;1;ssandPile;ocl;default;69191;;cores;;none;310933
