machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
uhura;512;32;1;1;ssandPile;omp_tiled;opt;1000;;cores;;none;562374
uhura;512;64;1;1;ssandPile;omp_tiled;opt;1000;;cores;;none;328416
uhura;512;512;1;1;ssandPile;omp_tiled;opt;1000;;cores;;none;138578
uhura;512;32;32;1;ssandPile;omp_tiled;opt;1000;;cores;;none;475704
uhura;512;64;32;1;ssandPile;omp_tiled;opt;1000;;cores;;none;178914
uhura;512;512;32;1;ssandPile;omp_tiled;opt;1000;;cores;;none;364321
uhura;512;32;64;1;ssandPile;omp_tiled;opt;1000;;cores;;none;272493
uhura;512;64;64;1;ssandPile;omp_tiled;opt;1000;;cores;;none;200403
uhura;512;512;64;1;ssandPile;omp_tiled;opt;1000;;cores;;none;110832
uhura;512;32;1;1;ssandPile;omp_tiled;avx;1000;;cores;;none;489010
uhura;512;64;1;1;ssandPile;omp_tiled;avx;1000;;cores;;none;294545
uhura;512;512;1;1;ssandPile;omp_tiled;avx;1000;;cores;;none;121464
uhura;512;32;32;1;ssandPile;omp_tiled;avx;1000;;cores;;none;179007
uhura;512;64;32;1;ssandPile;omp_tiled;avx;1000;;cores;;none;143945
uhura;512;512;32;1;ssandPile;omp_tiled;avx;1000;;cores;;none;104568
uhura;512;32;64;1;ssandPile;omp_tiled;avx;1000;;cores;;none;227605
uhura;512;64;64;1;ssandPile;omp_tiled;avx;1000;;cores;;none;171406
uhura;512;512;64;1;ssandPile;omp_tiled;avx;1000;;cores;;none;106594
uhura;512;32;1;1;ssandPile;omp_tiled;opt;1000;;cores;;none;555622
uhura;512;64;1;1;ssandPile;omp_tiled;opt;1000;;cores;;none;328093
uhura;512;512;1;1;ssandPile;omp_tiled;opt;1000;;cores;;none;154996
uhura;512;32;32;1;ssandPile;omp_tiled;opt;1000;;cores;;none;228464
uhura;512;64;32;1;ssandPile;omp_tiled;opt;1000;;cores;;none;177050
uhura;512;512;32;1;ssandPile;omp_tiled;opt;1000;;cores;;none;115908
uhura;512;32;64;1;ssandPile;omp_tiled;opt;1000;;cores;;none;263857
uhura;512;64;64;1;ssandPile;omp_tiled;opt;1000;;cores;;none;204991
uhura;512;512;64;1;ssandPile;omp_tiled;opt;1000;;cores;;none;116822
uhura;512;32;1;1;ssandPile;omp_tiled;avx;1000;;cores;;none;493862
uhura;512;64;1;1;ssandPile;omp_tiled;avx;1000;;cores;;none;297795
uhura;512;512;1;1;ssandPile;omp_tiled;avx;1000;;cores;;none;126206
uhura;512;32;32;1;ssandPile;omp_tiled;avx;1000;;cores;;none;178916
uhura;512;64;32;1;ssandPile;omp_tiled;avx;1000;;cores;;none;151875
uhura;512;512;32;1;ssandPile;omp_tiled;avx;1000;;cores;;none;105604
uhura;512;32;64;1;ssandPile;omp_tiled;avx;1000;;cores;;none;238667
uhura;512;64;64;1;ssandPile;omp_tiled;avx;1000;;cores;;none;173196
uhura;512;512;64;1;ssandPile;omp_tiled;avx;1000;;cores;;none;102924
uhura;512;32;1;1;ssandPile;omp_tiled;opt;1000;;cores;;none;554825
uhura;512;64;1;1;ssandPile;omp_tiled;opt;1000;;cores;;none;326503
uhura;512;512;1;1;ssandPile;omp_tiled;opt;1000;;cores;;none;139484
uhura;512;32;32;1;ssandPile;omp_tiled;opt;1000;;cores;;none;224050
uhura;512;64;32;1;ssandPile;omp_tiled;opt;1000;;cores;;none;179860
uhura;512;512;32;1;ssandPile;omp_tiled;opt;1000;;cores;;none;113829
uhura;512;32;64;1;ssandPile;omp_tiled;opt;1000;;cores;;none;263485
uhura;512;64;64;1;ssandPile;omp_tiled;opt;1000;;cores;;none;200675
uhura;512;512;64;1;ssandPile;omp_tiled;opt;1000;;cores;;none;132744
uhura;512;32;1;1;ssandPile;omp_tiled;avx;1000;;cores;;none;492682
uhura;512;64;1;1;ssandPile;omp_tiled;avx;1000;;cores;;none;289831
uhura;512;512;1;1;ssandPile;omp_tiled;avx;1000;;cores;;none;132625
uhura;512;32;32;1;ssandPile;omp_tiled;avx;1000;;cores;;none;177362
uhura;512;64;32;1;ssandPile;omp_tiled;avx;1000;;cores;;none;143118
uhura;512;512;32;1;ssandPile;omp_tiled;avx;1000;;cores;;none;108624
uhura;512;32;64;1;ssandPile;omp_tiled;avx;1000;;cores;;none;223285
uhura;512;64;64;1;ssandPile;omp_tiled;avx;1000;;cores;;none;170117
uhura;512;512;64;1;ssandPile;omp_tiled;avx;1000;;cores;;none;102892
